dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,xgboost,0.0932632648079232,0.0871593476790493,0.0995364821940961,0.1258560508507058,0.1163716813830227,0.13548832302422
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,attention_lstm,0.444282804426903,0.415931034973269,0.4752615147424333,0.5467110147875794,0.5099020333108953,0.5838186223499777
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,persistence,0.3495373504852178,0.3081231663281426,0.3923332769126606,0.6014576441242295,0.5177511771442093,0.683511165202678
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,xgboost,0.2198332384299327,0.1992087809901236,0.2400043130383698,0.3199663865733188,0.2853175656807766,0.3542074595507332
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,attention_lstm,0.5194297548691763,0.4776436239538841,0.5618567133666297,0.6761412960623827,0.6273908748729689,0.7235052498837834
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,persistence,0.6581389698736638,0.5814267492711371,0.740500485908649,1.1031032293914644,0.9619038086906058,1.2515083396045923
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,xgboost,0.3532899824592879,0.3186229328372387,0.3876612805908924,0.5145127696462712,0.4569995741010073,0.568079618768617
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,attention_lstm,0.7510530098748903,0.6956661884245566,0.8068711071286645,0.9453452124515768,0.8842979489205082,1.0060653257967849
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,persistence,1.202868617326449,1.0717566695352838,1.3534219018932874,1.89014945057164,1.640154739190302,2.135899098515198
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,xgboost,0.61628408440214,0.5526536572478792,0.6840551465903624,0.9040041756395636,0.8146932590675823,0.9976449822624384
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,attention_lstm,0.9238169242206742,0.851994178124484,0.9953885450845495,1.1648792092327929,1.090142071798172,1.2411383819751094
