dataset,horizon,outer_fold,model_seed,model,physical_minutes,target_units,source_run,source_hash,protocol_hash,n_calibration,n_test,deterministic_baseline_alias,nominal_level,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,q,rank
pleia,6,0,42,attention_lstm,60,degrees C,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,9904,9907,False,0.95,0.8073079640658121,-0.1426920359341879,0.1426920359341879,3.9118721008300814,10.048865994197067,1.9559360504150405,9410
pleia_energy,1,0,42,persistence,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,9907,9909,True,0.9,0.9570087798970632,0.05700877989706321,0.05700877989706321,1.015625,2.194871770612574,0.5078125,8918
pleia_energy,1,0,42,persistence,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,9907,9909,True,0.95,0.9754768392370572,0.025476839237057236,0.025476839237057236,1.234375,3.452844320819455,0.6171875,9413
pleia_energy,1,0,42,xgboost,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,9907,9909,False,0.9,0.9597335755373902,0.05973357553739023,0.05973357553739023,0.7051993012428284,1.3825880121524283,0.3525996506214142,8918
pleia_energy,1,0,42,xgboost,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,9907,9909,False,0.95,0.9789080633767282,0.028908063376728244,0.028908063376728244,0.9261906147003174,2.149957266467672,0.4630953073501587,9413
pleia_energy,1,0,42,attention_lstm,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,9907,9909,False,0.9,0.9616510243213241,0.06165102432132408,0.06165102432132408,0.7234830856323242,1.383633936681015,0.3617415428161621,8918
pleia_energy,1,0,42,attention_lstm,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,9907,9909,False,0.95,0.9819356140882026,0.03193561408820267,0.03193561408820267,0.9758375883102417,2.1609889997316176,0.48791879415512085,9413
pleia_energy,1,2,42,persistence,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,4953,9907,True,0.9,0.5603108912889876,-0.33968910871101243,0.33968910871101243,0.078125,2.097025777228223,0.0390625,4459
pleia_energy,1,2,42,persistence,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,4953,9907,True,0.95,0.6428787725850409,-0.30712122741495906,0.30712122741495906,0.125,3.783587362470977,0.0625,4707
pleia_energy,1,2,42,xgboost,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,4953,9907,False,0.9,0.6688200262440699,-0.23117997375593013,0.23117997375593013,0.2122400999069214,1.5212555512646029,0.1061200499534607,4459
pleia_energy,1,2,42,xgboost,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,4953,9907,False,0.95,0.802866659937418,-0.14713334006258194,0.14713334006258194,0.4104323983192444,2.0013129589078003,0.2052161991596222,4707
pleia_energy,1,2,42,attention_lstm,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,4953,9907,False,0.9,0.5419400423942666,-0.3580599576057334,0.3580599576057334,0.10988640785217285,1.7599119923965982,0.054943203926086426,4459
pleia_energy,1,2,42,attention_lstm,10,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,4953,9907,False,0.95,0.6031089128898759,-0.34689108711012406,0.34689108711012406,0.14232784509658813,3.167092771111166,0.07116392254829407,4707
pleia_energy,3,2,42,persistence,30,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,4952,9907,True,0.9,0.5711113354194004,-0.3288886645805996,0.3288886645805996,0.078125,2.1860568915918046,0.0390625,4458
pleia_energy,3,2,42,persistence,30,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,4952,9907,True,0.95,0.6392449782981731,-0.3107550217018269,0.3107550217018269,0.125,3.9634475623296628,0.0625,4706
pleia_energy,3,2,42,xgboost,30,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,4952,9907,False,0.9,0.6820429998990613,-0.21795700010093877,0.21795700010093877,0.19844549894332886,1.553191707195494,0.09922274947166443,4458
pleia_energy,3,2,42,xgboost,30,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,4952,9907,False,0.95,0.7359442818209347,-0.2140557181790652,0.2140557181790652,0.2602016031742096,2.6116582523522616,0.1301008015871048,4706
pleia_energy,3,2,42,attention_lstm,30,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,4952,9907,False,0.9,0.5655597052589079,-0.33444029474109216,0.33444029474109216,0.13233381509780884,1.787407805721828,0.06616690754890442,4458
pleia_energy,3,2,42,attention_lstm,30,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,4952,9907,False,0.95,0.6591299081457556,-0.2908700918542444,0.2908700918542444,0.1859319806098938,3.0860990094370835,0.0929659903049469,4706
pleia_energy,6,2,42,persistence,60,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,4951,9907,True,0.9,0.5607146462097506,-0.3392853537902494,0.3392853537902494,0.078125,2.156516541334411,0.0390625,4457
pleia_energy,6,2,42,persistence,60,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,4951,9907,True,0.95,0.6406581205208438,-0.30934187947915615,0.30934187947915615,0.125,3.899036035126675,0.0625,4705
pleia_energy,6,2,42,xgboost,60,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,4951,9907,False,0.9,0.6169375189260119,-0.2830624810739881,0.2830624810739881,0.14787453413009644,1.813980611755074,0.07393726706504822,4457
pleia_energy,6,2,42,xgboost,60,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,4951,9907,False,0.95,0.6847683456142122,-0.2652316543857878,0.2652316543857878,0.2103307843208313,3.108883889120713,0.10516539216041565,4705
pleia_energy,6,2,42,attention_lstm,60,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,4951,9907,False,0.9,0.5880690420914505,-0.3119309579085495,0.3119309579085495,0.20918864011764526,1.774322251041638,0.10459432005882263,4457
pleia_energy,6,2,42,attention_lstm,60,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,4951,9907,False,0.95,0.6448975471888564,-0.30510245281114357,0.30510245281114357,0.23959028720855713,3.1375937770495206,0.11979514360427856,4705
rico,15,2,42,persistence,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,True,0.9,0.9153586090316349,0.015358609031634884,0.015358609031634884,1.0,1.658295097802463,0.5,3819
rico,15,2,42,persistence,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,True,0.95,0.9629316590195605,0.012931659019560504,0.012931659019560504,1.6000000000000014,2.1462448683892776,0.8000000000000007,4031
rico,15,2,42,xgboost,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,False,0.9,0.6016662641873943,-0.2983337358126057,0.2983337358126057,0.7542602539062528,4.460707377120791,0.3771301269531264,3819
rico,15,2,42,xgboost,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,False,0.95,0.8117604443371167,-0.13823955566288326,0.13823955566288326,1.5278099060058565,4.6402000202472875,0.7639049530029283,4031
rico,15,2,42,attention_lstm,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,False,0.9,0.15225790871770103,-0.747742091282299,0.747742091282299,1.386624908447267,36.229294898653336,0.6933124542236335,3819
rico,15,2,42,attention_lstm,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,False,0.95,0.17797633421878772,-0.7720236657812123,0.7720236657812123,1.5523620605468764,68.46653170554534,0.7761810302734382,4031
rico,30,2,42,persistence,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,3927,7667,True,0.9,0.921612103821573,0.02161210382157297,0.02161210382157297,2.0,3.0014347202295553,1.0,3536
rico,30,2,42,persistence,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,3927,7667,True,0.95,0.9641319942611191,0.014131994261119107,0.014131994261119107,3.0,3.8623972870744745,1.5,3732
rico,30,2,42,xgboost,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,3927,7667,False,0.9,0.6884048519629581,-0.21159514803704194,0.21159514803704194,1.4331306457519517,5.652209475940068,0.7165653228759759,3536
rico,30,2,42,xgboost,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,3927,7667,False,0.95,0.8494848050084779,-0.10051519499152206,0.10051519499152206,2.4165054321289006,6.751449154482784,1.2082527160644503,3732
