dataset,horizon,outer_fold,model_seed,model,estimator_class,payload_seed,fit_record_seeds,source_hash,protocol_hash,source_run,passed,seed_variability,actual_wrapper_random_state,actual_booster_seed,actual_n_jobs,serialized_training_seed,rng_paths
rico,5,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,True,,43.0,43.0,1.0,,
rico,5,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
rico,15,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
rico,15,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,True,,43.0,43.0,1.0,,
rico,15,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
rico,30,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
rico,30,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,True,,43.0,43.0,1.0,,
rico,30,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
rico,60,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
rico,60,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,True,,43.0,43.0,1.0,,
rico,60,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
bdg2,1,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
bdg2,1,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,True,,43.0,43.0,1.0,,
bdg2,1,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
bdg2,3,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
bdg2,3,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,True,,43.0,43.0,1.0,,
bdg2,3,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
bdg2,6,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
bdg2,6,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,True,,43.0,43.0,1.0,,
bdg2,6,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
pleia,1,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
pleia,1,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,True,,43.0,43.0,1.0,,
pleia,1,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
pleia,3,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
pleia,3,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,True,,43.0,43.0,1.0,,
pleia,3,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
pleia,6,2,43,persistence,src.pilot_forecasters.Persistence,43,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
pleia,6,2,43,xgboost,xgboost.sklearn.XGBRegressor,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,True,,43.0,43.0,1.0,,
pleia,6,2,43,attention_lstm,src.attention_lstm.AttentionLSTM,43,[43],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,True,,,,,43.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
